document,id,subject,category,country,gender,appeal_date,issue_date,action,all_dates
2,141/13,ua 141/13 on north korea issued on (31 may 2013),north korea|forced labor|risk of arbitrary arrest|risk of torture,north korea issued on,seven males and two females,2013-07-12,2013-05-31,initial,2013-05-31|2013-07-12|2013-05-31
4,142/13,ua 142/13 on dominican republic issued on (31 may 2013),dominican republic|forced eviction,dominican republic issued on,both,2013-07-12,2013-05-31,initial,2013-05-31|2013-02-16|2013-07-12|2011-10-15|2013-05-31
6,114/13,second update on ua 114/13 on bahrain issued on (30 may 2013),prisoner of conscience|human rights defeder|bahrain,ua 114,m,2012-07-11,2013-05-30,second update,2013-05-30|2013-05-22|2012-02-14|2012-04-17|2012-07-11|2011-06-29
8,138/13,ua 138/13 on sudan issued on (28 may 2013),sudan|arbitrary arrest|arbitrary detention|incommunicado,sudan issued on,,2013-07-09,2013-05-28,initial,2013-05-28|2013-07-09|2011-07-09
10,353/12,first update on ua 353/12 on gambia issued on (11 december 2013),arbitrary detention|gambia|arbitrary arrest,ua 353,m,2013-01-22,2013-12-11,first update,2013-12-11|2013-01-22|2012-12-11
12,132/13,first update on ua 132/13 on equatorial guinea issued on (23 may 2013),equatorial guinea|arbitrary arrest,ua 132,both,2013-07-03,2013-05-23,first update,2013-05-23|2013-07-03
14,112/13,first update on ua 112/13 on egypt issued on (23 may 2013),egypt|freedom of expression,ua 112,m,2013-06-03,2013-05-23,first update,2013-05-23|2013-05-13|2013-06-03|2013-04-30
16,38/13,final update on ua 38/13 on russia issued on (23 may 2013),russia|death threats,ua 38,,,2013-05-23,final update,2013-05-23
18,112/13,first update ua 112/13 on egypt issued on (23 may 2013),|subject:  first update ua 112/13 on egypt issued on (23 may 2013),egypt issued on,m,2013-06-03,2013-05-23,first update,2013-05-23|2013-05-13|2013-06-03|2013-04-30
20,256/12,final update on ua 256/12 on china issued on (22 may 2013),china|prisoner conditions|death penalty,ua 256,,,2013-05-22,final update,2013-05-22|2012-05-14
22,115/13,final update on ua 115/13 on venezuela issued on (22 may 2013),venezuela,ua 115,,,2013-05-22,final update,2013-05-22
24,136/13,ua 136/13 on haiti issued on (22 may 2013),death threats|haiti|human rights defender,haiti issued on,all m,2013-07-03,2013-05-22,initial,2013-05-22|2013-07-03|2010-01-12|2013-05-22
26,135/13,ua 135/13 on papua new guinea issued on (22 may 2013),papua new guinea|death penalty,papua new guinea issued on,n/a,2013-07-03,2013-05-22,initial,2013-05-22|2013-07-03|2013-05-15|2013-01-28|2013-05-22
28,296/12,first update on ua 296/12 on columbia issued on (21 may 2013),harassment|ill-treatment|death threats|columbia,ua 296,both,2013-07-02,2013-05-21,first update,2013-05-21|2008-02-08|2013-07-02
30,220/12,final update on ua 220/12 on tajikistan issued on (20 may 2013),tajikistan|torture|ill-treatment,ua 220,m,,2013-05-20,final update,2013-05-20|2012-12-24
32,126/13,ua 126/13 on bahrain issued on (16 may 2013),bahrain|freedom of expression|prisoner of conscience,bahrain issued on,m,2013-06-27,2013-05-16,initial,2013-05-16|2013-06-27|2013-04-14|2011-06-29|2013-05-16
34,127/13,ua 127/13 on columbia issued on (16 may 2013),columbia|threats|killing,columbia issued on,male,2013-06-27,2013-05-16,initial,2013-05-16|2006-08-03|2013-06-27|2005-02-04|2013-05-16
36,125/13,first update on ua 125/13 on morocco issued on (16 may 2013),morocco|torture|arbitrary detention,ua 125,all male,2013-06-27,2013-05-16,first update,2013-05-16|2013-05-09|2013-06-27|2013-05-09|2013-05-04|2013-04-28|2013-04-27|2013-05-16
38,114/13,first updated on ua 114/13 on bahrain issued on (30 may 2013)#,prisoner of conscience|bahrain|arbitrary detention,ua 114,m,2012-07-11,2013-05-30,first updated,2013-05-30|2013-05-22|2012-02-14|2012-04-17|2012-07-11|2011-06-29
40,113/13,first update on ua 113/13 on usa issued on (9 may 2013),execution|united states|right to life,ua 113,m,,2013-05-09,first update,2013-05-09|1992-12-11|2013-05-02
42,125/13,ua 125/13 on morocco issued on (17 may 2013),morocco|arbitrary detention|torture|risk of torture,morocco issued on,all male,2013-06-27,2013-05-17,initial,2013-05-17|2013-05-09|2013-06-27|2013-05-09|2013-05-04|2013-04-28|2013-04-27
43,93/13,third update on ua 93/13 on el salvador issued on (15 may 2013),womans rights|el salvador|health concern,ua 93,,2013-05-20,2013-05-15,third update,2013-05-15|2013-05-20|2013-04-15|2013-05-01|2013-05-15
45,134/13,ua 134/13 on venezuala issued on (20 may 2013),venezuela|killing|police brutality,venezuala issued on,,2013-07-01,2013-05-20,initial,2013-05-20|2013-07-01
47,13/13,ua 13/13 on columbia issued on (20 may 2013),columbia|paramilitaries|human rights defender,colombia,,2013-07-01,2013-05-20,initial,2013-05-20|2013-07-01|2013-05-20
49,132/13,ua 132/13 on equatorial guinea issued on (20 may 2013),equatorial guinea|arbitrary arrest|incommunicado,equatorial guinea,,2013-07-01,2013-05-20,initial,2013-05-20|2013-07-01|2013-05-20
