category,category_count,event_type,classification
fear for safety,1851,1,10
torture,1742,2,16
death penalty,1303,2,2
legal concern,1075,1,11
male,1067,0,0
incommunicado detention,829,2,4
health concern,805,2,12
prisoners of conscience,756,2,4
women,709,0,0
iran,703,3,0
human rights defenders,686,4,0
usa,652,3,0
uas 2012,607,0,0
enforced disappearance,533,2,13
risk of torture,498,1,17
death threats,424,1,7
journalists and writers,412,4,0
mexico,367,3,0
imminent execution,360,2,2
arbitrary arrest,357,2,4
syria,343,3,0
children,342,4,0
prisoner of conscience,338,4,4
freedom of expression,338,5,0
female,338,0,0
risk of ill-treatment,317,1,8
uas 2011,297,0,0
refugee issues,296,5,0
arbitrary detention,289,2,4
nepal,283,3,0
sudan,278,3,0
china,258,3,0
students,243,4,0
ill-treatment,242,2,5
activist,239,4,0
legal professionals,236,4,0
forced eviction,210,2,6
teachers and educators,209,4,0
colombia,200,3,0
saudi arabia,194,3,0
indigenous,186,4,0
war on terror uas,174,5,0
unfair trial,166,2,11
religious leaders,164,4,0
forcible return,163,2,6
iraq,143,3,0
escr,141,4,0
harassment,140,2,8
russian federation,126,3,0
intimidation,123,1,8
guatemala,122,3,0
yemen,122,3,0
pakistan,115,3,0
bahrain,112,3,0
egypt,110,3,0
unionists,107,4,0
medical concern,98,1,9
indonesia,89,3,0
brazil,88,3,0
health professionals,84,4,0
india,83,3,0
ethiopia,78,3,0
israel,76,3,0
uas 2010,76,0,0
business people,75,4,0
environmental activists,72,4,0
uas 2009,72,0,0
fear of torture,67,1,17
honduras,66,3,0
turkey,61,3,0
human rights defender,60,4,0
lgbt issues,60,5,0
belarus,58,3,0
cuba,58,3,0
conscientious objection,57,6,0
uzbekistan,56,3,0
myanmar,55,3,0
flogging,55,2,3
tunisia,55,3,0
sri lanka,54,3,0
hunger-strike,54,6,12
abduction,54,2,13
extra-judicial execution,54,2,1
russia,52,3,0
political prisoners,51,4,0
ecuador,50,3,0
zimbabwe,50,3,0
artists,50,4,0
eritrea,48,3,0
incommunicado,47,0,0
peru,45,3,0
impunity,44,0,11
bangladesh,44,3,0
libya,42,3,0
venezuela,40,3,0
haiti,39,3,0
burundi,39,3,0
community,39,4,0
cambodia,37,3,0
equatorial guinea,37,3,0
palestinian authority,36,4,0
united arab emirates,35,3,0
physical scientists,35,4,0
turkmenistan,35,3,0
ukraine,34,3,0
democratic republic of congo,33,3,0
police brutality,31,2,3
algeria,31,3,0
thailand,30,3,0
corporate abuse,30,2,14
prison conditions,29,5,0
viet nam,29,3,0
student,29,4,0
